PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40626336,Population Pharmacokinetics and Exposure-Response Analyses for Capivasertib in Combination With Fulvestrant in Patients With Breast Cancer.,2025 Jul,Fernandez Teruel C; Cullberg M; Gonzalez-Garcia I; Schiavon G; Zhang L; Zhou D,"Clinical Pharmacology and Quantitative Pharmacology, BioPharmaceuticals R&D, AstraZeneca, Cambridge, UK.; Clinical Pharmacology and Quantitative Pharmacology, BioPharmaceuticals R&D, AstraZeneca, Gothenburg, Sweden.; Clinical Pharmacology and Quantitative Pharmacology, BioPharmaceuticals R&D, AstraZeneca, Cambridge, UK.; Oncology R&D, AstraZeneca, Cambridge, UK.; Clinical Pharmacology, Development Science, AstraZeneca R&D, Shanghai, China.; Clinical Pharmacology and Quantitative Pharmacology, BioPharmaceuticals R&D, AstraZeneca, Waltham, Massachusetts, USA.",
40626272,A self-reinforced activatable photosensitizer prodrug enabling synergistic photodynamic and chemotherapy.,2024 Dec,,,
40626151,The oncogenic role of SPOCK1 in lung carcinoma by promoting immune evasion and its related mechanisms.,2025 Aug,,,
40626138,Copper-Based Metal-Organic Framework Nanoplatform for miRNA Delivery: Synergistic Antitumor Therapy.,2025,,,
40626039,Chimeric antigen receptor (CAR)-T-cell therapy for glioblastoma: what can we learn from the early clinical trials? A systematic review.,2025 Jan-Dec,,,
40626017,Part II: consensus statements and expert recommendations for BRCA-associated breast cancer in the Asia-Pacific region: clinical management.,2025,Dent RA; Tan VK; Que FVF,"Division of Medical Oncology, National Cancer Centre Singapore, Singapore, Singapore.; Department of Breast Surgery, Division of Surgery and Surgical Oncology, National Cancer Centre Singapore, Singapore, Singapore.; Department of Internal Medicine and Oncology, St Luke's Medical Center, Quezon City and Global City, Metro Manila, Philippines.",
40626016,Esophagectomy for very low body weight: a case report and literature review.,2025,,,
40626006,Revolutions at the frontline of multiple myeloma treatment: lessons and challenges to finding a cure.,2025,,,
40625920,"Clinical diagnosis, treatment, and survival analysis of 61 cases of salivary duct carcinoma: a retrospective study.",2025,,,
40625909,"""Crossbreeding"" NIR-II flavchromene for PSMA-positive prostate cancer detection and image-guided surgery.",2024 Sep,,,
40625908,Recent progress in stimuli-activable metallo-prodrugs for cancer therapy.,2024 Sep,,,
40625889,"Adjuvant melatonin therapy during exercise prescription in breast cancer survivors on physical and anthropometric parameters, quality of life, and hormonal response. A randomized controlled trial.",2025,,,
40625885,Nanoparticulated Anti-Programmed Cell Death-1 Antibody Improves Localized Immune Checkpoint Blockade Therapy.,2025,,,
