PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40625176,"A second-generation, self-amplifying COVID-19 Vaccine: World's first approval and distribution in the Japanese market with vaccine hesitancy.",2025 Dec,,,
40624510,Dynamics of contact behaviour by self-reported COVID-19 vaccination and infection status during the COVID-19 pandemic in Germany: an analysis of two large population-based studies.,2025 Jul 7,Boff L; Harries M; Lange B,"Department of Epidemiology, Helmholtz Centre for Infection Research (HZI), Braunschweig, Germany.; Department of Epidemiology, Helmholtz Centre for Infection Research (HZI), Braunschweig, Germany.; Department of Epidemiology, Helmholtz Centre for Infection Research (HZI), Braunschweig, Germany. berit.lange@helmholtz-hzi.de.",
40624462,"Safety comparison of mRNA, viral vector, and inactivated Covid-19 vaccines: incidence of adverse events following primary and booster doses among medical professionals in Malaysia.",2025 Jul 7,Thundakattil AV,"Department of Social and Preventive Medicine, Faculty of Medicine, Universiti Malaya, Kuala Lumpur, Malaysia.",
40624061,Intranasal booster induces durable mucosal immunity against SARS-CoV-2 in mice.,2025 Jul 7,,,
40623876,Impact of vaccine mandates and removals on COVID-19 vaccine uptake in Australia and international comparators: a study protocol.,2025 Jul 7,Moore HC; Blyth CC,"Department of Research and Evaluation, Kaiser Permanente Southern California, Pasadena, CA, USA.; National Centre for Immunisation Research and Surveillance, Westmead, New South Wales, Australia.",
40623118,Estimating behavioural relaxation induced by COVID-19 vaccines in the first months of their rollout.,2025 Jul 7,Gozzi N,"ISI Foundation, Turin, Italy.",
40623023,Determinants of COVID-19 vaccine uptake among persons with disabilities in three selected districts of Zambia.,2025,,,
40622951,Preparing for future pandemics: A qualitative exploration of social media in light of the COVID-19 pandemic and vaccine hesitancy.,2025,,,
40622852,Arsenic trioxide could promote SARS-CoV-2 NSP12 protein degradation.,2025 Jul,,,
40622507,"Association between Guillain-Barre syndrome and SARS-CoV-2 virus infection, including the impact of COVID-19 vaccination in the context of the development and general clinical characteristics of the disease.",2025 Jul 7,,,
40620653,Incomplete systemic capillary leak syndrome after COVID-19 vaccination: a case-based review.,2025,,,
40620571,Antispike IgG antibody decay after immunisation with fractional versus full booster doses of COVID-19 vaccines: a 6-month longitudinal analysis of the FRACT-COV trial in Brazil.,2025,Moreira Puga MA; de Oliveira RD; Vieira da Silva P; Charu V; Seidman JC; Garret D,"Fundacao Oswaldo Cruz, Fiocruz Mato Grosso do Sul, Campo Grande, Brazil.; Fundacao Oswaldo Cruz, Fiocruz Mato Grosso do Sul, Campo Grande, Brazil.; Nursing Course, Universidade Estadual do Mato Grosso do Sul, Dourados, Brazil.; Fundacao Oswaldo Cruz, Fiocruz Mato Grosso do Sul, Campo Grande, Brazil.; Infectious Diseases and Geographic Medicine, Stanford Medicine, Stanford, California, USA.; Infectious Diseases and Geographic Medicine, Stanford Medicine, Stanford, California, USA.",
40620334,Prevalence of infection and associated factors after intramedullary nailing in African countries with the Surgical Implant Generation Network program: A systematic review and meta-analysis of available evidence.,2025,Abadi Tareke A; Andargie GA,"Amref Health Africa in Ethiopia, COVID-19 Vaccine/EPI Technical Assistant at West Gondar Zonal Health Department, Gondar, Ethiopia.; Department of Nutrition, Antsokiya Gemza District Health Office, North Shoa, Mekoy, Ethiopia.",
40619650,SARS-CoV-2 Omicron Variant Spike Glycoprotein Mutation Q954H Enhances Fusion Core Stability.,2025 Jul 6,,,
